index,age,birth_country_code,birth_country_name,birth_date,birth_day,contract_expires,current_team_color,current_team_logo,current_team_name,domestic_competition_name,foot,full_name,goals,goals_tagged,height,id,image,market_value,minutes_on_field,name,on_loan,passport_country_codes,passport_country_names,positions,primary_position,primary_position_percent,secondary_position,secondary_position_percent,third_position,third_position_percent,total_matches,weight,xg_shot
10,24,MEX,Mexico,1995-06-15,1995-06-15,2023-06-30,FF0000,https://cdn5.wyscout.com/photos/team/public/140_120x120.png,PSV,Eredivisie,left,Érick Gabriel Gutiérrez Galaviz,2,2,181,315849,https://cdn5.wyscout.com/photos/players/public/g315849_100x130.png,6500000,470,É. Gutiérrez,False,['MEX'],['Mexico'],"['LCMF3', 'LCMF']",LCMF3,72,LCMF,17,,0,5,74,0.64
11,20,USA,USA,1999-04-13,1999-04-13,,000000,https://cdn5.wyscout.com/photos/team/public/591_120x120.png,Monterrey,Liga MX,right,Jonathan Alexander González Mendoza,1,1,175,474558,https://cdn5.wyscout.com/photos/players/public/g474558_100x130.png,6500000,1636,J. Gónzalez,False,"['USA', 'MEX']","['USA', 'Mexico']","['RCMF', 'RDMF', 'LCMF']",RCMF,21,RDMF,21,LCMF,17,23,66,1.03
12,26,CHL,Chile,1993-02-14,1993-02-14,2023-06-30,000000,https://cdn5.wyscout.com/photos/team/public/462_120x120.png,América,Liga MX,right,Nicolás Ignacio Castillo Mora,7,7,179,176830,https://cdn5.wyscout.com/photos/players/public/68303_100x130.png,6000000,1334,N. Castillo,False,['CHL'],['Chile'],['CF'],CF,100,,0,,0,16,74,5.46
13,27,ARG,Argentina,1991-10-11,1991-10-11,2022-06-30,0000ff,https://cdn5.wyscout.com/photos/team/public/590_120x120.png,Cruz Azul,Liga MX,right,Guillermo Matías Fernández,0,0,176,232122,https://cdn5.wyscout.com/photos/players/public/80015_100x130.png,6000000,42,G. Fernández,False,['ARG'],['Argentina'],"['RDMF', 'RCMF']",RDMF,77,RCMF,22,,0,2,74,0.0
14,24,ARG,Argentina,1994-09-26,1994-09-26,2022-06-30,008000,https://cdn5.wyscout.com/photos/team/public/3466_120x120.png,Portland Timbers,MLS,right,Brian Leonel Fernández,15,15,172,245199,https://cdn5.wyscout.com/photos/players/public/g245199_100x130.png,6000000,2294,B. Fernández,False,['ARG'],['Argentina'],"['CF', 'RW']",CF,35,RW,34,,0,29,74,10.23
15,28,ARG,Argentina,1991-03-05,1991-03-05,,000000,https://cdn5.wyscout.com/photos/team/public/591_120x120.png,Monterrey,Liga MX,right,Rogelio Gabriel Funes Mori,17,17,190,110288,https://cdn5.wyscout.com/photos/players/public/45978_100x130.png,6000000,2409,R. Funes Mori,False,['ARG'],['Argentina'],['CF'],CF,100,,0,,0,33,81,11.95
16,29,MEX,Mexico,1990-02-11,1990-02-11,,000000,https://cdn5.wyscout.com/photos/team/public/925_120x120.png,Tigres UANL,Liga MX,right,Javier Ignacio Aquino Carmona,6,6,168,43657,https://cdn5.wyscout.com/photos/players/public/55745_100x130.png,5000000,2409,J. Aquino,False,['MEX'],['Mexico'],"['LAMF', 'LW']",LAMF,44,LW,32,,0,31,59,4.37
17,20,MEX,Mexico,1998-09-07,1998-09-07,,0000ff,https://cdn5.wyscout.com/photos/team/public/590_120x120.png,Cruz Azul,Liga MX,left,Roberto Carlos Alvarado Hernández,4,4,176,315852,https://cdn5.wyscout.com/photos/players/public/g315852_100x130.png,5000000,3531,R. Alvarado,False,['MEX'],['Mexico'],"['AMF', 'LW', 'RCMF3']",AMF,23,LW,18,RCMF3,10,43,70,3.75
18,21,CHL,Chile,1997-11-04,1997-11-04,,0000ff,https://cdn5.wyscout.com/photos/team/public/463_120x120.png,Pachuca,Liga MX,left,Víctor Alejandro Dávila Zavala,6,6,170,342525,https://cdn5.wyscout.com/photos/players/public/g342525_100x130.png,5000000,1719,V. Dávila,False,['CHL'],['Chile'],"['CF', 'LWF']",CF,56,LWF,10,,0,24,66,7.13
19,26,PRY,Paraguay,1992-10-06,1992-10-06,2020-06-30,000000,https://cdn5.wyscout.com/photos/team/public/462_120x120.png,América,Liga MX,right,Bruno Amílcar Valdez,10,10,183,198877,https://cdn5.wyscout.com/photos/players/public/g198877_100x130.png,5000000,3571,B. Valdez,False,['PRY'],['Paraguay'],"['RCB', 'LCB', 'CB']",RCB,66,LCB,16,CB,10,40,79,6.22
20,25,COL,Colombia,1994-06-23,1994-06-23,2023-06-30,000000,https://cdn5.wyscout.com/photos/team/public/462_120x120.png,América,Liga MX,right,Roger Beyker Martínez Tobinson,10,10,180,300190,https://cdn5.wyscout.com/photos/players/public/g300190_100x130.png,5000000,2660,R. Martínez,False,['COL'],['Colombia'],"['CF', 'AMF']",CF,72,AMF,17,,0,35,76,9.34
21,24,MEX,Mexico,1994-08-15,1994-08-15,2023-06-30,000000,https://cdn5.wyscout.com/photos/team/public/591_120x120.png,Monterrey,Liga MX,left,Jesús Daniel Gallardo Vasconcelos,3,3,176,352919,https://cdn5.wyscout.com/photos/players/public/g352919_100x130.png,5000000,3012,J. Gallardo,False,['MEX'],['Mexico'],"['LB', 'LW', 'LAMF']",LB,35,LW,26,LAMF,14,43,76,3.76
22,22,MEX,Mexico,1997-02-24,1997-02-24,2020-06-30,000000,https://cdn5.wyscout.com/photos/team/public/591_120x120.png,Monterrey,Liga MX,right,César Jasib Montes Castro,2,2,191,411239,https://cdn5.wyscout.com/photos/players/public/g411239_100x130.png,5000000,1755,C. Montes,False,['MEX'],['Mexico'],"['RCB', 'RCB3', 'LCB3']",RCB,59,RCB3,29,LCB3,11,26,70,1.06
23,30,ARG,Argentina,1989-07-29,1989-07-29,2022-06-30,008000,https://cdn5.wyscout.com/photos/team/public/589_120x120.png,Santos Laguna,Liga MX,right,Julio César Furch,18,18,187,130289,https://cdn5.wyscout.com/photos/players/public/56175_100x130.png,5000000,3059,J. Furch,False,['ARG'],['Argentina'],['CF'],CF,100,,0,,0,33,88,10.76
24,29,ARG,Argentina,1990-06-03,1990-06-03,2023-06-30,0000FF,https://cdn5.wyscout.com/photos/team/public/100_120x120.png,Boca Juniors,Superliga,right,Iván José Marcone,0,0,184,66412,https://cdn5.wyscout.com/photos/players/public/30480_100x130.png,4500000,2095,I. Marcone,False,['ARG'],['Argentina'],"['LCMF', 'DMF', 'LDMF']",LCMF,33,DMF,24,LDMF,15,23,90,0.18
25,31,ARG,Argentina,1988-03-16,1988-03-16,2019-12-31,000000,https://cdn5.wyscout.com/photos/team/public/462_120x120.png,América,Liga MX,right,Agustín Federico Marchesín,0,0,188,14242,https://cdn5.wyscout.com/photos/players/public/27187_100x130.png,4500000,4348,A. Marchesín,False,['ARG'],['Argentina'],['GK'],GK,100,,0,,0,45,85,0.0
26,25,CHL,Chile,1994-01-30,1994-01-30,,008000,https://cdn5.wyscout.com/photos/team/public/589_120x120.png,Santos Laguna,Liga MX,right,Diego Alfonso Valdés Contreras,4,4,178,235018,https://cdn5.wyscout.com/photos/players/public/g235018_100x130.png,4500000,2342,D. Valdés,False,['CHL'],['Chile'],"['LCMF', 'AMF']",LCMF,51,AMF,22,,0,33,71,5.12
27,29,CHL,Chile,1989-11-20,1989-11-20,2021-06-30,000000,https://cdn5.wyscout.com/photos/team/public/925_120x120.png,Tigres UANL,Liga MX,right,Eduardo Jesús Vargas Rojas,11,11,174,21913,https://cdn5.wyscout.com/photos/players/public/23679_100x130.png,4500000,1824,E. Vargas,False,['CHL'],['Chile'],"['AMF', 'CF', 'LCMF']",AMF,51,CF,20,LCMF,13,34,77,9.41
28,30,BRA,Brazil,1989-06-18,1989-06-18,,000000,https://cdn5.wyscout.com/photos/team/public/925_120x120.png,Tigres UANL,Liga MX,right,Rafael De Souza Pereira,2,2,179,33519,https://cdn5.wyscout.com/photos/players/public/6844_100x130.png,4500000,3489,Rafael Carioca,False,['BRA'],['Brazil'],"['RCMF', 'RDMF', 'LCMF']",RCMF,32,RDMF,21,LCMF,16,40,74,1.4
29,29,ECU,Ecuador,1989-11-04,1989-11-04,,000000,https://cdn5.wyscout.com/photos/team/public/925_120x120.png,Tigres UANL,Liga MX,right,Enner Remberto Valencia Lastra,5,5,177,113400,https://cdn5.wyscout.com/photos/players/public/50097_100x130.png,4500000,1866,E. Valencia,False,['ECU'],['Ecuador'],"['CF', 'AMF', 'LWF']",CF,46,AMF,25,LWF,11,33,73,5.59
0,27,ARG,Argentina,1992-06-20,1992-06-20,,000000,https://cdn5.wyscout.com/photos/team/public/925_120x120.png,Tigres UANL,Liga MX,right,Lucas Manuel Zelarayán,4,4,172,233182,https://cdn5.wyscout.com/photos/players/public/g233182_100x130.png,4000000,1309,L. Zelarayán,False,['ARG'],['Argentina'],"['AMF', 'LCMF']",AMF,45,LCMF,17,,0,22,73,1.52
1,22,COL,Colombia,1997-03-24,1997-03-24,,000000,https://cdn5.wyscout.com/photos/team/public/925_120x120.png,Tigres UANL,Liga MX,right,Julián Andrés Quiñones Quiñones,6,6,177,431497,https://cdn5.wyscout.com/photos/players/public/g431497_100x130.png,4000000,1527,J. Quiñones,False,['COL'],['Colombia'],"['RW', 'RAMF', 'CF']",RW,37,RAMF,32,CF,10,25,76,8.58
2,22,COL,Colombia,1997-04-25,1997-04-25,2022-12-31,000000,https://cdn5.wyscout.com/photos/team/public/462_120x120.png,América,Liga MX,right,Nicolás Benedetti Roa,1,1,177,407873,https://cdn5.wyscout.com/photos/players/public/g407873_100x130.png,4000000,551,N. Benedetti,False,['COL'],['Colombia'],['AMF'],AMF,56,,0,,0,10,70,1.1
3,18,MEX,Mexico,2000-10-26,2000-10-26,,0000ff,https://cdn5.wyscout.com/photos/team/public/1648_120x120.png,Querétaro,Liga MX,right,Marcel Alejandro Ruiz Suárez,2,2,179,-87201,https://cdn5.wyscout.com/photos/players/public/g-87201_100x130.png,4000000,1849,M. Ruiz,False,['MEX'],['Mexico'],"['LCMF', 'LCMF3', 'AMF']",LCMF,44,LCMF3,20,AMF,15,27,65,2.89
4,26,ARG,Argentina,1992-10-23,1992-10-23,2021-06-30,ff0000,https://cdn5.wyscout.com/photos/team/public/526_120x120.png,Atlas,Liga MX,right,Marcelo Javier Correa,4,4,187,100707,https://cdn5.wyscout.com/photos/players/public/52395_100x130.png,4000000,1531,J. Correa,False,['ARG'],['Argentina'],['CF'],CF,91,,0,,0,18,85,5.86
5,32,ARG,Argentina,1987-05-20,1987-05-20,2021-12-30,ff0000,https://cdn5.wyscout.com/photos/team/public/874_120x120.png,Toluca,Liga MX,right,Emmanuel Gigliotti,3,3,183,17324,https://cdn5.wyscout.com/photos/players/public/26313_100x130.png,4000000,1254,E. Gigliotti,False,['ARG'],['Argentina'],['CF'],CF,100,,0,,0,16,81,5.15
6,28,MEX,Mexico,1991-03-08,1991-03-08,2021-06-30,000000,https://cdn5.wyscout.com/photos/team/public/464_120x120.png,Guadalajara,Liga MX,right,Alan Pulido Izaguirre,8,8,177,70149,https://cdn5.wyscout.com/photos/players/public/49663_100x130.png,4000000,2362,A. Pulido,False,['MEX'],['Mexico'],['CF'],CF,89,,0,,0,29,76,8.48
7,21,MEX,Mexico,1997-11-25,1997-11-25,2020-05-31,000000,https://cdn5.wyscout.com/photos/team/public/464_120x120.png,Guadalajara,Liga MX,right,Ernesto Alexis Vega Rojas,10,10,173,422002,https://cdn5.wyscout.com/photos/players/public/g422002_100x130.png,4000000,2671,A. Vega,False,['MEX'],['Mexico'],['CF'],CF,69,,0,,0,35,77,7.08
8,26,PRY,Paraguay,1993-02-04,1993-02-04,2021-06-30,000000,https://cdn5.wyscout.com/photos/team/public/873_120x120.png,Pumas UNAM,Liga MX,right,Carlos Gabriel Gonzalez Espínola,15,15,183,302505,https://cdn5.wyscout.com/photos/players/public/g302505_100x130.png,4000000,3266,C. González,False,['PRY'],['Paraguay'],['CF'],CF,96,,0,,0,36,81,10.14
9,21,ARG,Argentina,1998-07-04,1998-07-04,2021-06-30,0000ff,https://cdn5.wyscout.com/photos/team/public/463_120x120.png,Pachuca,Liga MX,right,Nahuel Lautaro Bustos,0,0,176,442053,https://cdn5.wyscout.com/photos/players/public/g442053_100x130.png,3500000,70,N. Bustos,True,['ARG'],['Argentina'],"['CF', 'RAMF', 'LAMF']",CF,39,RAMF,23,LAMF,19,4,74,0.04
10,30,MEX,Mexico,1989-03-16,1989-03-16,,000000,https://cdn5.wyscout.com/photos/team/public/925_120x120.png,Tigres UANL,Liga MX,right,Jesús Alberto Dueñas Manzo,1,1,177,42180,https://cdn5.wyscout.com/photos/players/public/55741_100x130.png,3500000,3090,J. Dueñas,False,['MEX'],['Mexico'],"['LB', 'RCMF', 'LWB']",LB,49,RCMF,12,LWB,10,38,70,1.11
11,29,ARG,Argentina,1990-02-18,1990-02-18,2020-06-30,000040,https://cdn5.wyscout.com/photos/team/public/684_120x120.png,New England,MLS,right,Gustavo Leonardo Bou,10,10,179,52758,https://cdn5.wyscout.com/photos/players/public/21849_100x130.png,3500000,1380,G. Bou,False,['ARG'],['Argentina'],"['CF', 'AMF']",CF,51,AMF,42,,0,16,77,7.29
12,26,COL,Colombia,1993-02-18,1993-02-18,2024-06-30,008000,https://cdn5.wyscout.com/photos/team/public/159_120x120.png,Sporting CP,Primeira Liga,left,Cristian Alexis Borja González,0,0,180,394462,https://cdn5.wyscout.com/photos/players/public/g394462_100x130.png,3500000,1206,C. Borja,False,['COL'],['Colombia'],['LB'],LB,97,,0,,0,16,66,0.09
13,31,MEX,Mexico,1988-04-29,1988-04-29,2021-06-30,0000ff,https://cdn5.wyscout.com/photos/team/public/590_120x120.png,Cruz Azul,Liga MX,right,Elías Hernán Hernández Jacuinde,8,8,170,20664,https://cdn5.wyscout.com/photos/players/public/24353_100x130.png,3500000,2448,Elías Hernández,False,['MEX'],['Mexico'],"['RW', 'LW', 'LAMF']",RW,28,LW,25,LAMF,21,30,65,5.3
14,30,MEX,Mexico,1989-06-10,1989-06-10,2020-05-31,0000ff,https://cdn5.wyscout.com/photos/team/public/463_120x120.png,Pachuca,Liga MX,right,Jorge Daniel Hernández Govea,0,0,170,69435,https://cdn5.wyscout.com/photos/players/public/31349_100x130.png,3500000,3448,J. Hernández,False,['MEX'],['Mexico'],"['DMF', 'RCMF']",DMF,68,RCMF,13,,0,37,80,0.26
15,28,ECU,Ecuador,1991-01-20,1991-01-20,,000000,https://cdn5.wyscout.com/photos/team/public/462_120x120.png,América,Liga MX,right,Alex Renato Ibarra Mina,3,3,175,84884,https://cdn5.wyscout.com/photos/players/public/63405_100x130.png,3500000,3001,A. Ibarra,False,['ECU'],['Ecuador'],"['RW', 'RAMF']",RW,54,RAMF,35,,0,39,69,2.76
16,27,COL,Colombia,1992-05-07,1992-05-07,2021-12-31,000000,https://cdn5.wyscout.com/photos/team/public/462_120x120.png,América,Liga MX,right,Andrés Felipe Ibargüen García,4,4,168,186118,https://cdn5.wyscout.com/photos/players/public/g186118_100x130.png,3500000,2322,A. Ibargüen,False,['COL'],['Colombia'],"['LW', 'LAMF']",LW,42,LAMF,36,,0,32,63,4.64
17,26,URY,Uruguay,1993-07-06,1993-07-06,2022-12-31,0000ff,https://cdn5.wyscout.com/photos/team/public/590_120x120.png,Cruz Azul,Liga MX,right,Jonathan Javier Rodríguez Portillo,10,10,181,304964,https://cdn5.wyscout.com/photos/players/public/g304964_100x130.png,3500000,2620,J. Rodríguez,False,['URY'],['Uruguay'],"['CF', 'LW']",CF,59,LW,11,,0,37,76,7.82
18,31,COL,Colombia,1988-01-24,1988-01-24,,000000,https://cdn5.wyscout.com/photos/team/public/591_120x120.png,Monterrey,Liga MX,right,Dorlan Mauricio Pabón Ríos,6,6,174,66694,https://cdn5.wyscout.com/photos/players/public/41480_100x130.png,3500000,3104,D. Pabón,False,['COL'],['Colombia'],"['RAMF', 'RW', 'CF']",RAMF,44,RW,33,CF,11,40,75,5.37
19,27,COL,Colombia,1992-06-14,1992-06-14,,000000,https://cdn5.wyscout.com/photos/team/public/591_120x120.png,Monterrey,Liga MX,right,Jhon Stefan Medina Ramírez,2,2,180,102841,https://cdn5.wyscout.com/photos/players/public/43661_100x130.png,3500000,2869,S. Medina,False,['COL'],['Colombia'],"['RB', 'RCB']",RB,44,RCB,26,,0,33,71,1.07
20,26,ARG,Argentina,1993-01-19,1993-01-19,2021-12-31,0000FF,https://cdn5.wyscout.com/photos/team/public/g24936_120x120.png,Atlético de San Luis,Liga MX,right,Adrián Ricardo Centurión,0,0,174,248168,https://cdn5.wyscout.com/photos/players/public/g248168_100x130.png,3500000,90,R. Centurión,True,['ARG'],['Argentina'],"['RWF', 'LW']",RWF,77,LW,22,,0,2,74,0.03
21,25,URY,Uruguay,1994-02-23,1994-02-23,2021-06-30,008000,https://cdn5.wyscout.com/photos/team/public/589_120x120.png,Santos Laguna,Liga MX,right,Brian Avelino Lozano Aparicio,3,3,166,368519,https://cdn5.wyscout.com/photos/players/public/g368519_100x130.png,3500000,2927,B. Lozano,False,['URY'],['Uruguay'],"['LW', 'RW', 'AMF']",LW,43,RW,28,AMF,11,36,63,4.69
22,23,MEX,Mexico,1996-05-27,1996-05-27,2020-01-01,008000,https://cdn5.wyscout.com/photos/team/public/589_120x120.png,Santos Laguna,Liga MX,right,Brayan Eduardo Garnica Cortéz,0,0,167,422205,https://cdn5.wyscout.com/photos/players/public/g422205_100x130.png,3500000,1230,B. Garnica,False,['MEX'],['Mexico'],['RW'],RW,62,,0,,0,23,58,0.44
23,34,FRA,France,1985-05-12,1985-05-12,2021-06-30,000000,https://cdn5.wyscout.com/photos/team/public/925_120x120.png,Tigres UANL,Liga MX,right,André-Pierre Gignac,22,22,187,3125,https://cdn5.wyscout.com/photos/players/public/4694_100x130.png,3500000,3535,A. Gignac,False,['FRA'],['France'],['CF'],CF,98,,0,,0,37,84,21.13
24,28,MEX,Mexico,1990-08-28,1990-08-28,2022-12-31,000000,https://cdn5.wyscout.com/photos/team/public/464_120x120.png,Guadalajara,Liga MX,right,Isaác Brizuela Muñoz,4,4,173,44245,https://cdn5.wyscout.com/photos/players/public/40321_100x130.png,3500000,3129,I. Brizuela,False,['MEX'],['Mexico'],"['RW', 'RAMF', 'LW']",RW,51,RAMF,15,LW,13,34,67,2.76
25,28,COL,Colombia,1991-06-26,1991-06-26,,000000,https://cdn5.wyscout.com/photos/team/public/925_120x120.png,Tigres UANL,Liga MX,left,Luis Enrique Quiñónes,5,5,178,227485,https://cdn5.wyscout.com/photos/players/public/82023_100x130.png,3500000,3089,L. Quiñónes,False,['COL'],['Colombia'],"['LW', 'RAMF', 'RW']",LW,34,RAMF,18,RW,16,38,69,6.45
26,22,CAN,Canada,1996-12-21,1996-12-21,,0000ff,https://cdn5.wyscout.com/photos/team/public/590_120x120.png,Cruz Azul,Liga MX,right,Stephen  Antunes Eustáquio,0,0,178,405471,https://cdn5.wyscout.com/photos/players/public/g405471_100x130.png,3000000,39,Stephen Eustáquio,False,"['CAN', 'PRT']","['Canada', 'Portugal']",['DMF'],DMF,100,,0,,0,1,66,0.0
27,26,ARG,Argentina,1993-06-21,1993-06-21,2020-12-31,0000FF,https://cdn5.wyscout.com/photos/team/public/132_120x120.png,Racing Club,Superliga,right,Walter Iván Montoya,0,0,172,285547,https://cdn5.wyscout.com/photos/players/public/g285547_100x130.png,3000000,108,W. Montoya,True,['ARG'],['Argentina'],"['RCMF', 'AMF', 'RCMF3']",RCMF,44,AMF,23,RCMF3,12,5,72,0.0
28,24,PRY,Paraguay,1994-08-11,1994-08-11,2023-06-30,FF0000,https://cdn5.wyscout.com/photos/team/public/101_120x120.png,Independiente,Superliga,right,Cecilio Andrés Domínguez Ruiz,2,2,179,218958,https://cdn5.wyscout.com/photos/players/public/g218958_100x130.png,3000000,968,C. Domínguez,False,['PRY'],['Paraguay'],"['LW', 'LCMF3', 'LAMF']",LW,42,LCMF3,21,LAMF,18,19,70,4.24
29,26,CAN,Canada,1992-12-28,1992-12-28,2022-06-30,0000ff,https://cdn5.wyscout.com/photos/team/public/911_120x120.png,Puebla,Liga MX,left,Lucas Daniel Cavallini,11,11,185,181355,https://cdn5.wyscout.com/photos/players/public/84219_100x130.png,3000000,3069,L. Cavallini,False,"['CAN', 'ARG']","['Canada', 'Argentina']",['CF'],CF,98,,0,,0,32,85,11.76
0,30,ARG,Argentina,1988-12-01,1988-12-01,2021-06-30,0000ff,https://cdn5.wyscout.com/photos/team/public/590_120x120.png,Cruz Azul,Liga MX,left,Milton Joel Caraglio,16,16,187,15205,https://cdn5.wyscout.com/photos/players/public/2155_100x130.png,3000000,2453,M. Caraglio,False,"['ARG', 'ITA']","['Argentina', 'Italy']",['CF'],CF,99,,0,,0,36,86,14.8
1,28,ESP,Spain,1991-04-30,1991-04-30,,0000ff,https://cdn5.wyscout.com/photos/team/public/590_120x120.png,Cruz Azul,Liga MX,right,Edgar Antonio Méndez Ortega,4,4,187,103368,https://cdn5.wyscout.com/photos/players/public/g103368_100x130.png,3000000,2870,Edgar Méndez,False,['ESP'],['Spain'],"['RW', 'RAMF', 'RWF']",RW,30,RAMF,24,RWF,21,40,80,4.54
2,29,MEX,Mexico,1989-09-11,1989-09-11,,0000ff,https://cdn5.wyscout.com/photos/team/public/590_120x120.png,Cruz Azul,Liga MX,right,Rafael Baca Miranda,1,1,170,195463,https://cdn5.wyscout.com/photos/players/public/67285_100x130.png,3000000,2613,R. Baca,False,['MEX'],['Mexico'],"['RCMF', 'DMF', 'RDMF']",RCMF,38,DMF,13,RDMF,12,33,70,0.33
3,29,ARG,Argentina,1989-08-21,1989-08-21,2022-06-30,008000,https://cdn5.wyscout.com/photos/team/public/3282_120x120.png,León,Liga MX,right,Leonardo Javier Ramos,17,17,186,211082,https://cdn5.wyscout.com/photos/players/public/g211082_100x130.png,3000000,2106,L. Ramos,False,['ARG'],['Argentina'],['CF'],CF,98,,0,,0,25,83,8.42
4,24,CHL,Chile,1994-08-05,1994-08-05,,000000,https://cdn5.wyscout.com/photos/team/public/873_120x120.png,Pumas UNAM,Liga MX,right,Martín Vladimir Rodríguez Torrejón,3,3,172,190520,https://cdn5.wyscout.com/photos/players/public/70105_100x130.png,3000000,2240,M. Rodríguez,False,['CHL'],['Chile'],['LW'],LW,67,,0,,0,35,65,1.97
5,31,ARG,Argentina,1988-07-15,1988-07-15,2020-06-30,0000ff,https://cdn5.wyscout.com/photos/team/public/463_120x120.png,Pachuca,Liga MX,right,Franco Daniel Jara,18,18,181,33530,https://cdn5.wyscout.com/photos/players/public/27197_100x130.png,3000000,2898,F. Jara,False,['ARG'],['Argentina'],['CF'],CF,97,,0,,0,34,76,16.32
6,31,BRA,Brazil,1988-07-21,1988-07-21,2019-12-31,ff0000,https://cdn5.wyscout.com/photos/team/public/3288_120x120.png,Tijuana,Liga MX,right,Camilo Da Silva Sanvezzo,13,13,170,92194,https://cdn5.wyscout.com/photos/players/public/66941_100x130.png,3000000,2936,Camilo Sanvezzo,False,"['BRA', 'CAN']","['Brazil', 'Canada']",['CF'],CF,94,,0,,0,34,75,12.82
