,VehicleNo,TripId,RouteNo,Direction,Destination,Pattern,Latitude,Longitude,RecordedTime,RouteMap
76,16107,10804901,401,EAST,BRIGHOUSE STN,EB1,49.170083,-123.1659,11:55:41 am,{'Href': 'https://nb.translink.ca/geodata/401.kmz'}
77,16109,10805506,403,NORTH,BRIDGEPORT STN,NB1,49.192,-123.124567,11:55:19 am,{'Href': 'https://nb.translink.ca/geodata/403.kmz'}
78,16110,10807134,408,EAST,RIVERPORT,EB1HRP,49.1681,-123.136617,11:54:46 am,{'Href': 'https://nb.translink.ca/geodata/408.kmz'}
79,16117,10807202,408,WEST,BRIGHOUSE STN,WB1RP,49.163717,-123.124783,11:54:38 am,{'Href': 'https://nb.translink.ca/geodata/408.kmz'}
80,16118,10805578,403,SOUTH,THREE ROAD,SB1,49.178967,-123.136683,11:55:15 am,{'Href': 'https://nb.translink.ca/geodata/403.kmz'}
81,16119,10805887,404,WEST,BRIGHOUSE STN,WB1RP,49.162833,-123.115717,11:55:27 am,{'Href': 'https://nb.translink.ca/geodata/404.kmz'}
82,16121,10805251,402,NORTH,BRIGHOUSE STN,NB3,49.1665,-123.1362,11:55:54 am,{'Href': 'https://nb.translink.ca/geodata/402.kmz'}
83,16123,10806433,406,NORTH,BRIGHOUSE STN,NB1,49.128683,-123.191817,11:55:38 am,{'Href': 'https://nb.translink.ca/geodata/406.kmz'}
84,16126,10804948,401,WEST,ONE ROAD,WB1E,49.170217,-123.14545,11:55:52 am,{'Href': 'https://nb.translink.ca/geodata/401.kmz'}
85,16127,10806523,406,SOUTH,STEVESTON,SB1W,49.151983,-123.1698,11:55:41 am,{'Href': 'https://nb.translink.ca/geodata/406.kmz'}
86,16128,10806072,405,SOUTH,FIVE ROAD,SB1E,49.210567,-123.075583,11:47:52 am,{'Href': 'https://nb.translink.ca/geodata/405.kmz'}
87,16132,11378566,250,EAST,VANCOUVER,EB1,49.37315,-123.27205,11:51:54 am,{'Href': 'https://nb.translink.ca/geodata/250.kmz'}
88,16134,11378705,250,WEST,HORSESHOE BAY,WB1,49.340333,-123.203267,11:55:28 am,{'Href': 'https://nb.translink.ca/geodata/250.kmz'}
89,16135,11378632,250,WEST,DUNDARAVE - TO 25TH & MARINE,WB4,49.279833,-123.112517,11:51:52 am,{'Href': 'https://nb.translink.ca/geodata/250.kmz'}
90,16137,10808449,430,EAST,METROTOWN STN,EB1,49.218683,-123.07705,11:54:54 am,{'Href': 'https://nb.translink.ca/geodata/430.kmz'}
91,16140,11378816,255,WEST,DUNDARAVE - TO 25TH & MARINE,WB1AB,49.322,-123.064283,11:54:56 am,{'Href': 'https://nb.translink.ca/geodata/255.kmz'}
92,16201,10774644,049,EAST,METROTOWN STN,EB1,49.225383,-123.084567,11:55:53 am,{'Href': 'https://nb.translink.ca/geodata/049.kmz'}
93,16203,10774639,049,EAST,METROTOWN STN,EB1,49.267383,-123.247083,11:55:19 am,{'Href': 'https://nb.translink.ca/geodata/049.kmz'}
94,16207,10774696,049,WEST,UBC,WB1,49.22195,-122.998383,11:55:49 am,{'Href': 'https://nb.translink.ca/geodata/049.kmz'}
95,16212,10811905,620,SOUTH,TSAWW. FERRY VIA LADNER EXCH,SB1,49.195867,-123.12575,11:55:00 am,{'Href': 'https://nb.translink.ca/geodata/620.kmz'}
96,16216,10774694,049,WEST,UBC,WB1,49.2248,-123.0531,11:55:11 am,{'Href': 'https://nb.translink.ca/geodata/049.kmz'}
97,16221,10774688,049,WEST,UBC,WB1,49.226133,-123.004317,11:54:22 am,{'Href': 'https://nb.translink.ca/geodata/049.kmz'}
98,16223,10811888,620,NORTH,BRIDGEPORT STN VIA LADNER EXCH,NB1,49.007117,-123.128067,11:54:42 am,{'Href': 'https://nb.translink.ca/geodata/620.kmz'}
99,16502,10784477,134,WEST,BRENTWOOD STN,WB1,49.255783,-122.937917,11:47:05 am,{'Href': 'https://nb.translink.ca/geodata/134.kmz'}
100,16504,10789955,181,SOUTH,MOODY CTR STN,SB1,49.285883,-122.8347,11:55:17 am,{'Href': 'https://nb.translink.ca/geodata/181.kmz'}
101,16508,10789724,180,NORTH,MOODY CTR STN,NB1,49.262017,-122.889467,11:55:18 am,{'Href': 'https://nb.translink.ca/geodata/180.kmz'}
102,16511,10787550,157,EAST,BURQUITLAM STN,EB1,49.247417,-122.895267,11:55:48 am,{'Href': 'https://nb.translink.ca/geodata/157.kmz'}
103,16514,10813173,744,WEST,MEADOWTOWN,WB1,49.217967,-122.6691,11:54:09 am,{'Href': 'https://nb.translink.ca/geodata/744.kmz'}
104,16515,10786991,153,WEST,BRAID STN,WB1,49.23505,-122.877083,11:55:27 am,{'Href': 'https://nb.translink.ca/geodata/153.kmz'}
105,16517,10789048,172,EAST,RIVERSIDE,EB1,49.274867,-122.799167,11:55:41 am,{'Href': 'https://nb.translink.ca/geodata/172.kmz'}
106,16518,10784467,134,EAST,LAKE CITY STN,EB1,49.2762,-122.964617,11:55:24 am,{'Href': 'https://nb.translink.ca/geodata/134.kmz'}
107,16519,10790718,185,NORTH,LANSDOWNE,NB1,49.296567,-122.813433,11:55:13 am,{'Href': 'https://nb.translink.ca/geodata/185.kmz'}
108,16520,10789068,172,WEST,COQ CTRL STN,WB1,49.2762,-122.796867,11:55:16 am,{'Href': 'https://nb.translink.ca/geodata/172.kmz'}
109,16522,10791219,187,NORTH,PARKWAY,NB1,49.293467,-122.8005,11:55:01 am,{'Href': 'https://nb.translink.ca/geodata/187.kmz'}
110,16523,10790490,184,NORTH,NOONS CREEK,NB1,49.279583,-122.81835,11:55:08 am,{'Href': 'https://nb.translink.ca/geodata/184.kmz'}
111,16524,10787533,157,EAST,BURQUITLAM STN,EB1,49.258117,-122.870667,11:55:27 am,{'Href': 'https://nb.translink.ca/geodata/157.kmz'}
112,16528,10789056,172,WEST,COQ CTRL STN,WB1,49.258383,-122.729167,11:55:32 am,{'Href': 'https://nb.translink.ca/geodata/172.kmz'}
113,16533,10788649,170,SOUTH,PT COQ SOUTH,SB1,49.2547,-122.782633,11:55:42 am,{'Href': 'https://nb.translink.ca/geodata/170.kmz'}
114,16534,10789218,173,EAST,CEDAR,EB1,49.27135,-122.739683,11:55:28 am,{'Href': 'https://nb.translink.ca/geodata/173.kmz'}
115,16535,10812941,741,NORTH,ANDERSON CREEK,NB1,49.219333,-122.597217,11:54:19 am,{'Href': 'https://nb.translink.ca/geodata/741.kmz'}
116,16536,10789780,180,SOUTH,LOUGHEED STN,SB1,49.285683,-122.876283,11:55:44 am,{'Href': 'https://nb.translink.ca/geodata/180.kmz'}
117,16537,10784701,136,WEST,BRENTWOOD STN,WB1,49.26945,-122.945717,11:55:42 am,{'Href': 'https://nb.translink.ca/geodata/136.kmz'}
118,16541,10786996,153,WEST,BRAID STN,WB1,49.275467,-122.798433,11:55:10 am,{'Href': 'https://nb.translink.ca/geodata/153.kmz'}
119,16542,10791680,189,NORTH,LAFARGE PARK,NB2,49.2757,-122.798267,11:55:40 am,{'Href': 'https://nb.translink.ca/geodata/189.kmz'}
120,16543,10786979,153,EAST,COQ CTRL STN,EB1,49.264383,-122.816167,11:55:15 am,{'Href': 'https://nb.translink.ca/geodata/153.kmz'}
121,16545,10790998,186,SOUTH,COQ CTRL STN,SB1,49.307017,-122.7852,11:55:31 am,{'Href': 'https://nb.translink.ca/geodata/186.kmz'}
122,16548,10788870,171,WEST,COQ CTRL STN,WB1,49.253617,-122.739117,11:55:52 am,{'Href': 'https://nb.translink.ca/geodata/171.kmz'}
123,16550,10789407,174,EAST,ROCKLIN,EB1,49.26355,-122.782767,11:55:03 am,{'Href': 'https://nb.translink.ca/geodata/174.kmz'}
124,16555,10790071,182,SOUTH,MOODY CTR STN,SB1,49.307917,-122.864117,11:55:08 am,{'Href': 'https://nb.translink.ca/geodata/182.kmz'}
125,16557,10812809,733,NORTH,ROCK RIDGE,NB1,49.219633,-122.597033,11:55:09 am,{'Href': 'https://nb.translink.ca/geodata/733.kmz'}
126,16559,10813061,743,EAST,HANEY PLACE,EB1,49.21225,-122.604783,11:54:47 am,{'Href': 'https://nb.translink.ca/geodata/743.kmz'}
127,16562,10789766,180,SOUTH,LOUGHEED STN,SB1,49.277717,-122.846317,11:52:34 am,{'Href': 'https://nb.translink.ca/geodata/180.kmz'}
128,16603,11378593,250,EAST,VANCOUVER,EB2,49.334783,-123.181767,11:46:59 am,{'Href': 'https://nb.translink.ca/geodata/250.kmz'}
129,16604,11378792,255,EAST,CAPILANO UNIVERSITY - VIA LYNN VALLEY,EB1B,49.321183,-123.094933,11:55:52 am,{'Href': 'https://nb.translink.ca/geodata/255.kmz'}
130,17501,11153398,262,SOUTH,CAULFEILD,SB1EX,49.38545,-123.259417,11:54:26 am,{'Href': 'https://nb.translink.ca/geodata/262.kmz'}
131,17503,11153331,251,EAST,PARK ROYAL - ONLY,EB1NEW,49.336283,-123.144317,11:55:27 am,{'Href': 'https://nb.translink.ca/geodata/251.kmz'}
132,17505,11153197,215,WEST,PHIBBS EXCH,WB1,49.321467,-122.962333,11:55:10 am,{'Href': 'https://nb.translink.ca/geodata/215.kmz'}
133,17507,10787582,157,WEST,LOUGHEED STN,WB1,49.25615,-122.856817,11:55:30 am,{'Href': 'https://nb.translink.ca/geodata/157.kmz'}
134,17509,10789249,173,WEST,COQ CTRL STN,WB1,49.2669,-122.76715,11:55:27 am,{'Href': 'https://nb.translink.ca/geodata/173.kmz'}
135,17510,10784709,136,WEST,BRENTWOOD STN,WB1,49.248067,-122.8944,11:47:28 am,{'Href': 'https://nb.translink.ca/geodata/136.kmz'}
136,17512,10789723,180,NORTH,MOODY CTR STN,NB1,49.248067,-122.894367,11:52:43 am,{'Href': 'https://nb.translink.ca/geodata/180.kmz'}
137,17514,10813337,748,EAST,THORNHILL,EB1,49.219633,-122.59725,11:52:00 am,{'Href': 'https://nb.translink.ca/geodata/748.kmz'}
138,17516,10803310,361,WEST,OCEAN PARK,WB1,49.03275,-122.801133,11:52:38 am,{'Href': 'https://nb.translink.ca/geodata/361.kmz'}
139,17518,10811460,616,WEST,LADNER SOUTH,WB1,49.085583,-123.06415,11:55:28 am,{'Href': 'https://nb.translink.ca/geodata/616.kmz'}
140,17519,10804046,371,WEST,SCOTT RD STN,WB1,49.209833,-122.872117,11:55:06 am,{'Href': 'https://nb.translink.ca/geodata/371.kmz'}
141,17520,10811543,617,EAST,EAST LADNER,EB1,49.087883,-123.050767,11:55:14 am,{'Href': 'https://nb.translink.ca/geodata/617.kmz'}
142,17521,10803622,363,SOUTH,PEACE ARCH HOSPITAL,SB1,49.039783,-122.77965,11:55:22 am,{'Href': 'https://nb.translink.ca/geodata/363.kmz'}
143,17522,10803187,360,EAST,PEACE ARCH HOSPITAL,EB1,49.03105,-122.8004,11:55:13 am,{'Href': 'https://nb.translink.ca/geodata/360.kmz'}
144,17524,10801810,337,WEST,SURREY CTRL STN,WB2,49.192067,-122.756467,11:55:06 am,{'Href': 'https://nb.translink.ca/geodata/337.kmz'}
145,17526,10800298,322,WEST,SCOTTSDALE,WB1,49.108117,-122.850033,11:54:59 am,{'Href': 'https://nb.translink.ca/geodata/322.kmz'}
146,17528,10803589,363,NORTH,SOUTHPOINT,NB1,49.02925,-122.79285,11:46:22 am,{'Href': 'https://nb.translink.ca/geodata/363.kmz'}
147,17530,10803459,362,SOUTH,SEASIDE,SB1,49.03265,-122.801083,11:53:32 am,{'Href': 'https://nb.translink.ca/geodata/362.kmz'}
148,17532,10798088,310,EAST,SCOTTSDALE,EB1,49.131267,-122.890283,11:54:14 am,{'Href': 'https://nb.translink.ca/geodata/310.kmz'}
149,17533,10804360,373,WEST,SURREY CTRL STN,WB1,49.191683,-122.862367,11:55:19 am,{'Href': 'https://nb.translink.ca/geodata/373.kmz'}
150,17534,10800259,322,EAST,NEWTON EXCH,EB1,49.115817,-122.856533,11:54:37 am,{'Href': 'https://nb.translink.ca/geodata/322.kmz'}
151,17536,10804344,373,EAST,GUILDFORD,EB1,49.192167,-122.806417,11:54:05 am,{'Href': 'https://nb.translink.ca/geodata/373.kmz'}
152,17539,10801715,337,EAST,FRASER HTS,EB2,49.188817,-122.848367,11:49:35 am,{'Href': 'https://nb.translink.ca/geodata/337.kmz'}
153,17540,10809683,531,SOUTH,WHITE ROCK CTR,SB1,49.118867,-122.658317,11:55:26 am,{'Href': 'https://nb.translink.ca/geodata/531.kmz'}
154,17541,10801778,337,WEST,SURREY CTRL STN,WB2,49.191517,-122.819417,11:55:34 am,{'Href': 'https://nb.translink.ca/geodata/337.kmz'}
155,17542,10803604,363,NORTH,SOUTHPOINT,NB1,49.061617,-122.802383,11:54:59 am,{'Href': 'https://nb.translink.ca/geodata/363.kmz'}
156,17543,10809643,531,NORTH,WILLOWBROOK,NB1,49.104283,-122.668067,11:55:24 am,{'Href': 'https://nb.translink.ca/geodata/531.kmz'}
157,17545,10811675,618,SOUTH,LADNER EXCH,SB1R,49.0902,-123.067467,11:54:29 am,{'Href': 'https://nb.translink.ca/geodata/618.kmz'}
158,17547,10809682,531,SOUTH,WHITE ROCK CTR,SB1,49.045667,-122.735817,11:55:18 am,{'Href': 'https://nb.translink.ca/geodata/531.kmz'}
159,17548,10809644,531,NORTH,WILLOWBROOK,NB1,49.045617,-122.800317,11:55:25 am,{'Href': 'https://nb.translink.ca/geodata/531.kmz'}
160,18025,10777317,096,SOUTH,NEWTON EXCH B-LINE,SB1GT,49.193033,-122.805267,11:53:57 am,{'Href': 'https://nb.translink.ca/geodata/096.kmz'}
161,18027,10777167,096,NORTH,GUILDFORD B-LINE,NB1GT,49.1897,-122.847683,11:54:00 am,{'Href': 'https://nb.translink.ca/geodata/096.kmz'}
162,18030,10826408,503,WEST,FRASER HWY EXP/SURREY CTRL STN,WB4,49.119467,-122.69235,11:55:28 am,{'Href': 'https://nb.translink.ca/geodata/503.kmz'}
163,18032,10777207,096,NORTH,GUILDFORD B-LINE,NB1GT,49.163417,-122.845683,11:54:09 am,{'Href': 'https://nb.translink.ca/geodata/096.kmz'}
164,18044,10810004,555,WEST,PORT MANN EXP/LOUGHEED STN,WB1,49.159483,-122.6609,11:54:22 am,{'Href': 'https://nb.translink.ca/geodata/555.kmz'}
165,18050,10809981,555,EAST,PORT MANN EXP/CARVOLTH EXCH,EB1,49.1764,-122.716067,11:55:37 am,{'Href': 'https://nb.translink.ca/geodata/555.kmz'}
166,18051,10809982,555,EAST,PORT MANN EXP/CARVOLTH EXCH,EB1,49.247867,-122.895433,11:55:37 am,{'Href': 'https://nb.translink.ca/geodata/555.kmz'}
167,18053,10797472,257,EAST,VANCOUVER,E1,49.374117,-123.2729,11:53:34 am,{'Href': 'https://nb.translink.ca/geodata/257.kmz'}
168,18054,10778416,099,WEST,UBC B-LINE,W1,49.264067,-123.1676,11:55:32 am,{'Href': 'https://nb.translink.ca/geodata/099.kmz'}
169,18060,10778268,099,EAST,COMM'L-BDWAY STN,E1,49.26355,-123.138817,11:55:00 am,{'Href': 'https://nb.translink.ca/geodata/099.kmz'}
170,18104,10803796,364,EAST,LANGLEY CTR,EB1,49.119167,-122.878283,11:54:52 am,{'Href': 'https://nb.translink.ca/geodata/364.kmz'}
171,18106,10826370,503,WEST,FRASER HWY EXP/SURREY CTRL STN,WB1,49.158083,-122.780583,11:53:57 am,{'Href': 'https://nb.translink.ca/geodata/503.kmz'}
172,18107,10802320,341,SOUTH,NEWTON EXCH,SB1,49.18855,-122.806433,11:54:51 am,{'Href': 'https://nb.translink.ca/geodata/341.kmz'}
173,18108,10801476,335,WEST,SURREY CTRL STN,WB1N,49.198933,-122.840933,11:54:52 am,{'Href': 'https://nb.translink.ca/geodata/335.kmz'}
174,18113,10826806,502,EAST,LANGLEY CTR,EB7,49.15035,-122.761283,11:55:22 am,{'Href': 'https://nb.translink.ca/geodata/502.kmz'}
