,year,death_cause,state,death_number,age,adjusted_age
240,1999,Stroke,New York,8124,42.17,42.17
242,1999,Stroke,North Dakota,513,63.04,63.04
243,1999,Stroke,Ohio,7235,62.3,62.3
244,1999,Stroke,Oklahoma,2481,69.56,69.56
246,1999,Stroke,Pennsylvania,8600,57.48,57.48
247,1999,Stroke,Rhode Island,633,50.39,50.39
249,1999,Stroke,South Dakota,547,60.03,60.03
251,1999,Stroke,Texas,10414,65.89,65.89
253,1999,Stroke,Utah,869,60.18,60.18
254,1999,Stroke,Vermont,344,55.76,55.76
255,1999,Stroke,Virginia,4110,68.65,68.65
256,1999,Stroke,Washington,3718,69.9,69.9
257,1999,Stroke,West Virginia,1323,63.13,63.13
258,1999,Stroke,Wisconsin,3869,67.48,67.48
259,1999,Stroke,Wyoming,265,60.7,60.7
260,1999,Chronic liver disease and cirrhosis,Alabama,412,9.16,9.16
261,1999,Chronic liver disease and cirrhosis,Alaska,46,9.88,9.88
262,1999,Chronic liver disease and cirrhosis,Arizona,653,13.37,13.37
263,1999,Chronic liver disease and cirrhosis,Arkansas,218,7.96,7.96
264,1999,Chronic liver disease and cirrhosis,California,3572,11.91,11.91
265,1999,Chronic liver disease and cirrhosis,Colorado,391,9.93,9.93
266,1999,Chronic liver disease and cirrhosis,Connecticut,301,8.38,8.38
267,1999,Chronic liver disease and cirrhosis,Delaware,68,8.66,8.66
268,1999,Chronic liver disease and cirrhosis,District of Columbia,57,10.34,10.34
269,1999,Chronic liver disease and cirrhosis,Florida,1972,10.99,10.99
270,1999,Chronic liver disease and cirrhosis,Georgia,627,8.82,8.82
271,1999,Chronic liver disease and cirrhosis,Hawaii,70,5.61,5.61
272,1999,Chronic liver disease and cirrhosis,Idaho,88,7.46,7.46
273,1999,Chronic liver disease and cirrhosis,Illinois,1095,9.21,9.21
274,1999,Chronic liver disease and cirrhosis,Indiana,444,7.48,7.48
275,1999,Chronic liver disease and cirrhosis,Iowa,209,6.68,6.68
276,1999,Chronic liver disease and cirrhosis,Kansas,188,7.06,7.06
277,1999,Chronic liver disease and cirrhosis,Kentucky,386,9.55,9.55
278,1999,Chronic liver disease and cirrhosis,Louisiana,392,9.37,9.37
279,1999,Chronic liver disease and cirrhosis,Maine,128,9.1,9.1
280,1999,Chronic liver disease and cirrhosis,Maryland,481,9.37,9.37
281,1999,Chronic liver disease and cirrhosis,Massachusetts,590,9.07,9.07
282,1999,Chronic liver disease and cirrhosis,Michigan,1029,10.55,10.55
283,1999,Chronic liver disease and cirrhosis,Minnesota,313,6.66,6.66
284,1999,Chronic liver disease and cirrhosis,Mississippi,250,9.34,9.34
285,1999,Chronic liver disease and cirrhosis,Missouri,428,7.52,7.52
286,1999,Chronic liver disease and cirrhosis,Montana,91,9.66,9.66
287,1999,Chronic liver disease and cirrhosis,Nebraska,123,7.24,7.24
288,1999,Chronic liver disease and cirrhosis,Nevada,268,14.17,14.17
289,1999,Chronic liver disease and cirrhosis,New Hampshire,87,7.2,7.2
290,1999,Chronic liver disease and cirrhosis,New Jersey,791,9.16,9.16
291,1999,Chronic liver disease and cirrhosis,New Mexico,288,16.67,16.67
292,1999,Chronic liver disease and cirrhosis,New York,1534,8.08,8.08
293,1999,Chronic liver disease and cirrhosis,North Carolina,731,9.35,9.35
294,1999,Chronic liver disease and cirrhosis,North Dakota,56,8.63,8.63
295,1999,Chronic liver disease and cirrhosis,Ohio,1007,8.67,8.67
296,1999,Chronic liver disease and cirrhosis,Oklahoma,365,10.61,10.61
297,1999,Chronic liver disease and cirrhosis,Oregon,306,8.77,8.77
298,1999,Chronic liver disease and cirrhosis,Pennsylvania,1024,7.47,7.47
299,1999,Chronic liver disease and cirrhosis,Rhode Island,119,10.9,10.9
300,1999,Chronic liver disease and cirrhosis,South Carolina,415,10.63,10.63
301,1999,Chronic liver disease and cirrhosis,South Dakota,82,11.15,11.15
302,1999,Chronic liver disease and cirrhosis,Tennessee,549,9.7,9.7
303,1999,Chronic liver disease and cirrhosis,Texas,2104,11.8,11.8
305,1999,Chronic liver disease and cirrhosis,Utah,138,8.55,8.55
306,1999,Chronic liver disease and cirrhosis,Vermont,52,8.27,8.27
307,1999,Chronic liver disease and cirrhosis,Virginia,525,7.81,7.81
308,1999,Chronic liver disease and cirrhosis,Washington,532,9.52,9.52
309,1999,Chronic liver disease and cirrhosis,West Virginia,207,10.03,10.03
310,1999,Chronic liver disease and cirrhosis,Wisconsin,408,7.6,7.6
311,1999,Chronic liver disease and cirrhosis,Wyoming,49,10.17,10.17
312,1999,Chronic Respiratory Disease,Alabama,2179,48.59,48.59
313,1999,Chronic Respiratory Disease,Alaska,146,56.36,56.36
314,1999,Chronic Respiratory Disease,Arizona,2553,51.22,51.22
315,1999,Chronic Respiratory Disease,Arkansas,1358,46.78,46.78
316,1999,Chronic Respiratory Disease,California,13165,46.86,46.86
317,1999,Chronic Respiratory Disease,Colorado,1894,58.06,58.06
318,1999,Chronic Respiratory Disease,Connecticut,1435,37.78,37.78
319,1999,Chronic Respiratory Disease,Delaware,327,42.74,42.74
320,1999,Chronic Respiratory Disease,District of Columbia,166,29.89,29.89
321,1999,Chronic Respiratory Disease,Florida,9131,43.08,43.08
322,1999,Chronic Respiratory Disease,Georgia,3056,49.06,49.06
323,1999,Chronic Respiratory Disease,Hawaii,290,24.01,24.01
324,1999,Chronic Respiratory Disease,Idaho,568,49.54,49.54
325,1999,Chronic Respiratory Disease,Illinois,5155,43.23,43.23
326,1999,Chronic Respiratory Disease,Indiana,3053,51.59,51.59
327,1999,Chronic Respiratory Disease,Iowa,1643,46.83,46.83
328,1999,Chronic Respiratory Disease,Kansas,1386,48.67,48.67
329,1999,Chronic Respiratory Disease,Kentucky,2327,59.0,59.0
330,1999,Chronic Respiratory Disease,Louisiana,1610,40.19,40.19
331,1999,Chronic Respiratory Disease,Maine,751,52.57,52.57
332,1999,Chronic Respiratory Disease,Maryland,1943,41.64,41.64
333,1999,Chronic Respiratory Disease,Massachusetts,2862,41.58,41.58
334,1999,Chronic Respiratory Disease,Michigan,4316,45.26,45.26
335,1999,Chronic Respiratory Disease,Minnesota,1994,41.27,41.27
336,1999,Chronic Respiratory Disease,Mississippi,1267,47.15,47.15
337,1999,Chronic Respiratory Disease,Missouri,3068,51.66,51.66
338,1999,Chronic Respiratory Disease,Montana,566,59.43,59.43
339,1999,Chronic Respiratory Disease,Nebraska,945,50.61,50.61
340,1999,Chronic Respiratory Disease,Nevada,1029,64.73,64.73
341,1999,Chronic Respiratory Disease,New Hampshire,592,50.95,50.95
342,1999,Chronic Respiratory Disease,New Jersey,3130,35.88,35.88
343,1999,Chronic Respiratory Disease,New Mexico,848,52.86,52.86
344,1999,Chronic Respiratory Disease,New York,7086,36.92,36.92
345,1999,Chronic Respiratory Disease,North Carolina,3591,47.99,47.99
346,1999,Chronic Respiratory Disease,North Dakota,273,35.78,35.78
347,1999,Chronic Respiratory Disease,Ohio,5858,49.87,49.87
348,1999,Chronic Respiratory Disease,Oklahoma,1751,49.29,49.29
349,1999,Chronic Respiratory Disease,Oregon,1765,50.44,50.44
350,1999,Chronic Respiratory Disease,Pennsylvania,6141,41.05,41.05
351,1999,Chronic Respiratory Disease,Rhode Island,495,40.63,40.63
352,1999,Chronic Respiratory Disease,South Carolina,1752,46.99,46.99
353,1999,Chronic Respiratory Disease,South Dakota,335,38.62,38.62
354,1999,Chronic Respiratory Disease,Tennessee,2748,49.92,49.92
355,1999,Chronic Respiratory Disease,Texas,7518,46.8,46.8
357,1999,Chronic Respiratory Disease,Utah,559,37.64,37.64
358,1999,Chronic Respiratory Disease,Vermont,300,49.24,49.24
359,1999,Chronic Respiratory Disease,Virginia,2699,43.79,43.79
360,1999,Chronic Respiratory Disease,Washington,2713,51.24,51.24
361,1999,Chronic Respiratory Disease,West Virginia,1236,57.92,57.92
362,1999,Chronic Respiratory Disease,Wisconsin,2270,40.46,40.46
364,1999,Diabetes,Alabama,1341,30.0,30.0
366,1999,Diabetes,Alaska,67,23.84,23.84
367,1999,Diabetes,Arizona,1063,21.49,21.49
368,1999,Diabetes,Arkansas,691,24.17,24.17
369,1999,Diabetes,California,6401,22.46,22.46
370,1999,Diabetes,Colorado,639,19.18,19.18
371,1999,Diabetes,Connecticut,691,18.53,18.53
372,1999,Diabetes,Delaware,179,23.53,23.53
373,1999,Diabetes,District of Columbia,221,39.57,39.57
374,1999,Diabetes,Florida,4357,21.46,21.46
375,1999,Diabetes,Georgia,1448,22.64,22.64
376,1999,Diabetes,Hawaii,211,17.31,17.31
377,1999,Diabetes,Idaho,267,23.14,23.14
378,1999,Diabetes,Illinois,3004,25.21,25.21
379,1999,Diabetes,Indiana,1591,26.88,26.88
380,1999,Diabetes,Iowa,684,19.66,19.66
381,1999,Diabetes,Kansas,650,22.96,22.96
382,1999,Diabetes,Kentucky,1133,28.76,28.76
383,1999,Diabetes,Louisiana,1687,41.77,41.77
384,1999,Diabetes,Maine,348,24.46,24.46
385,1999,Diabetes,Maryland,1422,29.79,29.79
386,1999,Diabetes,Massachusetts,1354,19.92,19.92
387,1999,Diabetes,Michigan,2587,27.07,27.07
388,1999,Diabetes,Minnesota,1249,25.74,25.74
389,1999,Diabetes,Mississippi,593,21.99,21.99
390,1999,Diabetes,Missouri,1554,26.34,26.34
391,1999,Diabetes,Montana,244,25.69,25.69
392,1999,Diabetes,Nebraska,372,20.23,20.23
393,1999,Diabetes,Nevada,286,17.2,17.2
394,1999,Diabetes,New Hampshire,294,25.25,25.25
395,1999,Diabetes,New Jersey,2436,28.03,28.03
396,1999,Diabetes,New Mexico,517,31.44,31.44
397,1999,Diabetes,New York,3799,19.81,19.81
398,1999,Diabetes,North Carolina,2050,27.04,27.04
399,1999,Diabetes,North Dakota,203,26.71,26.71
400,1999,Diabetes,Ohio,3675,31.41,31.41
401,1999,Diabetes,Oklahoma,986,27.89,27.89
402,1999,Diabetes,Oregon,860,24.61,24.61
403,1999,Diabetes,Pennsylvania,3742,25.53,25.53
404,1999,Diabetes,Rhode Island,236,20.06,20.06
405,1999,Diabetes,South Carolina,1118,29.64,29.64
406,1999,Diabetes,South Dakota,196,23.13,23.13
407,1999,Diabetes,Tennessee,1436,26.06,26.06
408,1999,Diabetes,Texas,4931,29.85,29.85
410,1999,Diabetes,Utah,472,31.41,31.41
411,1999,Diabetes,Vermont,179,29.29,29.29
412,1999,Diabetes,Virginia,1486,23.59,23.59
413,1999,Diabetes,Washington,1307,24.47,24.47
414,1999,Diabetes,West Virginia,734,34.79,34.79
415,1999,Diabetes,Wisconsin,1273,22.89,22.89
416,1999,Diabetes,Wyoming,135,29.8,29.8
417,1999,Diseases of Heart,Alabama,13419,302.96,44.29297597042514
418,1999,Diseases of Heart,Alaska,563,198.02,2.843147156852843
419,1999,Diseases of Heart,Arizona,10800,223.1,48.408785298072615
420,1999,Diseases of Heart,Arkansas,8315,287.84,28.88757643135075
422,1999,Diseases of Heart,Colorado,6420,196.28,32.7083757896882
423,1999,Diseases of Heart,Connecticut,9127,238.81,38.21866755998492
424,1999,Diseases of Heart,Delaware,2011,269.22,7.469727360522992
425,1999,Diseases of Heart,District of Columbia,1652,296.17,5.577877570314346
427,1999,Diseases of Heart,Georgia,17597,282.77,62.230788273154864
428,1999,Diseases of Heart,Hawaii,2410,201.65,11.95140094222663
429,1999,Diseases of Heart,Idaho,2532,220.49,11.483513991564243
431,1999,Diseases of Heart,Indiana,16661,282.46,58.98534305742407
432,1999,Diseases of Heart,Iowa,8699,240.34,36.19455770991096
433,1999,Diseases of Heart,Kansas,6975,237.03,29.426654853815972
434,1999,Diseases of Heart,Kentucky,12098,310.86,38.91784082866885
435,1999,Diseases of Heart,Louisiana,12007,302.33,39.714881090199455
436,1999,Diseases of Heart,Maine,3418,238.71,14.318629299149595
437,1999,Diseases of Heart,Maryland,12080,259.17,46.610332986070915
438,1999,Diseases of Heart,Massachusetts,15871,228.49,69.46037025690401
440,1999,Diseases of Heart,Minnesota,9533,192.43,49.540092501169255
441,1999,Diseases of Heart,Mississippi,9336,347.35,26.877788973657694
442,1999,Diseases of Heart,Missouri,17974,300.46,59.82160686946682
443,1999,Diseases of Heart,Montana,2049,214.56,9.549776286353467
444,1999,Diseases of Heart,Nebraska,4497,234.98,19.137798961613754
445,1999,Diseases of Heart,Nevada,4231,274.32,15.423592884222806
446,1999,Diseases of Heart,New Hampshire,2751,236.17,11.648388872422409
448,1999,Diseases of Heart,New Mexico,3452,218.01,15.834136048805101
451,1999,Diseases of Heart,North Dakota,1833,234.15,7.828315182575272
453,1999,Diseases of Heart,Oklahoma,11263,316.09,35.6322566357683
454,1999,Diseases of Heart,Oregon,7263,205.73,35.30355320079716
456,1999,Diseases of Heart,Rhode Island,3008,244.1,12.32281851700123
457,1999,Diseases of Heart,South Carolina,9981,273.42,36.50427913100724
458,1999,Diseases of Heart,South Dakota,2024,228.62,8.853118712273641
459,1999,Diseases of Heart,Tennessee,16280,299.04,54.440877474585335
461,1999,Diseases of Heart,Utah,2786,190.05,14.659300184162062
462,1999,Diseases of Heart,Vermont,1342,217.37,6.173805032893223
463,1999,Diseases of Heart,Virginia,15329,250.92,61.09118444125618
464,1999,Diseases of Heart,Washington,11515,215.65,53.39670762810109
465,1999,Diseases of Heart,West Virginia,6822,325.52,20.957237650528388
466,1999,Diseases of Heart,Wisconsin,13827,243.73,56.73080868173799
467,1999,Diseases of Heart,Wyoming,1009,227.79,4.42951841608499
469,1999,Essential hypertension,Alabama,313,7.1,7.1
471,1999,Essential hypertension,Arizona,240,5.01,5.01
472,1999,Essential hypertension,Arkansas,150,5.27,5.27
473,1999,Essential hypertension,California,2029,7.27,7.27
474,1999,Essential hypertension,Colorado,154,4.79,4.79
475,1999,Essential hypertension,Connecticut,239,6.24,6.24
476,1999,Essential hypertension,Delaware,29,3.89,3.89
477,1999,Essential hypertension,District of Columbia,55,9.89,9.89
478,1999,Essential hypertension,Florida,1177,5.69,5.69
479,1999,Essential hypertension,Georgia,573,9.12,9.12
480,1999,Essential hypertension,Hawaii,80,6.7,6.7
481,1999,Essential hypertension,Idaho,51,4.44,4.44
482,1999,Essential hypertension,Illinois,734,6.14,6.14
483,1999,Essential hypertension,Indiana,334,5.67,5.67
484,1999,Essential hypertension,Iowa,176,4.61,4.61
485,1999,Essential hypertension,Kansas,160,5.35,5.35
486,1999,Essential hypertension,Kentucky,200,5.18,5.18
487,1999,Essential hypertension,Louisiana,277,7.07,7.07
488,1999,Essential hypertension,Maine,73,5.05,5.05
489,1999,Essential hypertension,Maryland,316,6.83,6.83
490,1999,Essential hypertension,Massachusetts,374,5.33,5.33
491,1999,Essential hypertension,Michigan,601,6.4,6.4
492,1999,Essential hypertension,Minnesota,403,8.09,8.09
493,1999,Essential hypertension,Mississippi,252,9.41,9.41
494,1999,Essential hypertension,Missouri,336,5.59,5.59
495,1999,Essential hypertension,Montana,36,3.75,3.75
496,1999,Essential hypertension,Nebraska,110,5.74,5.74
497,1999,Essential hypertension,Nevada,67,4.55,4.55
498,1999,Essential hypertension,New Hampshire,70,6.03,6.03
499,1999,Essential hypertension,New Jersey,389,4.49,4.49
500,1999,Essential hypertension,New Mexico,62,4.0,4.0
501,1999,Essential hypertension,New York,1264,6.57,6.57
502,1999,Essential hypertension,North Carolina,546,7.44,7.44
503,1999,Essential hypertension,North Dakota,52,6.0,6.0
504,1999,Essential hypertension,Ohio,850,7.31,7.31
505,1999,Essential hypertension,Oklahoma,183,5.12,5.12
506,1999,Essential hypertension,Oregon,249,7.03,7.03
507,1999,Essential hypertension,Pennsylvania,750,5.05,5.05
508,1999,Essential hypertension,Rhode Island,51,4.1,4.1
509,1999,Essential hypertension,South Carolina,387,10.63,10.63
510,1999,Essential hypertension,South Dakota,28,3.04,3.04
511,1999,Essential hypertension,Tennessee,346,6.4,6.4
512,1999,Essential hypertension,Texas,1037,6.49,6.49
514,1999,Essential hypertension,Utah,65,4.53,4.53
515,1999,Essential hypertension,Vermont,32,5.15,5.15
516,1999,Essential hypertension,Virginia,403,6.66,6.66
517,1999,Essential hypertension,Washington,286,5.41,5.41
518,1999,Essential hypertension,West Virginia,106,5.06,5.06
519,1999,Essential hypertension,Wisconsin,245,4.28,4.28
520,1999,Essential hypertension,Wyoming,23,5.27,5.27
521,1999,Influenza and pneumonia,Alabama,1228,28.2,28.2
522,1999,Influenza and pneumonia,Alaska,46,19.57,19.57
523,1999,Influenza and pneumonia,Arizona,1287,27.22,27.22
524,1999,Influenza and pneumonia,Arkansas,741,25.47,25.47
525,1999,Influenza and pneumonia,California,4560,16.48,16.48
526,1999,Influenza and pneumonia,Colorado,807,25.25,25.25
527,1999,Influenza and pneumonia,Connecticut,885,22.66,22.66
528,1999,Influenza and pneumonia,Delaware,155,21.31,21.31
529,1999,Influenza and pneumonia,District of Columbia,116,20.57,20.57
530,1999,Influenza and pneumonia,Florida,3328,16.05,16.05
531,1999,Influenza and pneumonia,Georgia,1703,28.33,28.33
532,1999,Influenza and pneumonia,Hawaii,229,19.6,19.6
533,1999,Influenza and pneumonia,Idaho,289,25.32,25.32
534,1999,Influenza and pneumonia,Illinois,3121,25.94,25.94
535,1999,Influenza and pneumonia,Indiana,1362,23.19,23.19
536,1999,Influenza and pneumonia,Iowa,1082,28.44,28.44
537,1999,Influenza and pneumonia,Kansas,676,22.15,22.15
538,1999,Influenza and pneumonia,Kentucky,1198,31.31,31.31
539,1999,Influenza and pneumonia,Louisiana,1008,25.98,25.98
540,1999,Influenza and pneumonia,Maine,287,19.88,19.88
541,1999,Influenza and pneumonia,Maryland,1140,25.2,25.2
