Año,Decil,Ingreso corriente total per cápita,Total ingreso corriente monetario,Remuneraciones por trabajo subordinado,Ingreso por trabajo independiente,Ingreso por renta de la propiedad,Otros ingresos provenientes del trabajo,Transferencias,Total ingreso corriente no monetario,Pago en especie,Transferencias en especie
2010,VIII,"4,454.68","4,181.87","2,983.01",487.39,92.96,152.50,466.01,272.81,128.33,144.48
2012,VIII,"4,615.30","4,280.68","3,026.29",454.03,115.77,150.70,533.89,334.62,210.09,124.53
2014,VIII,"4,529.71","4,185.29","3,061.22",372.46,87.77,147.82,516.02,344.42,218.67,125.75
2016,VIII,"4,621.78","4,334.27","3,054.15",410.78,152.11,144.65,572.58,287.51,97.49,190.02
2018,VIII,"4,673.60","4,389.26","3,121.42",445.69,168.39,145.96,507.80,284.34,106.33,178.02
2008,IX,"6,642.78","6,221.48","4,432.48",682.63,284.18,172.60,649.59,421.30,188.11,233.19
2010,IX,"6,345.31","5,942.94","4,300.82",586.27,202.28,173.07,680.50,402.36,223.85,178.52
2012,IX,"6,477.92","5,983.88","4,283.86",570.33,200.77,178.67,750.25,494.04,333.27,160.77
2014,IX,"6,435.63","5,922.78","4,286.47",542.23,161.13,176.22,756.73,512.84,351.80,161.05
2016,IX,"6,429.93","6,061.62","4,311.76",522.18,270.10,154.91,802.67,368.31,128.04,240.27
2018,IX,"6,418.43","6,070.25","4,245.21",549.23,298.48,175.16,802.16,348.18,146.73,201.46
2008,X,"16,561.62","15,404.74","9,046.47","1,566.16","2,979.70",303.14,"1,509.27","1,156.89",461.87,695.02
2010,X,"15,947.11","14,760.28","9,883.45","1,196.36","1,512.25",285.72,"1,882.50","1,186.83",525.68,661.15
2012,X,"15,661.70","14,528.55","9,530.97","1,674.72","1,114.49",283.14,"1,925.25","1,133.14",626.18,506.96
2014,X,"16,167.61","15,104.81","10,090.90",958.23,"1,788.38",382.38,"1,884.93","1,062.79",626.24,436.55
2016,X,"17,158.65","16,393.29","9,281.95","1,006.85","3,597.42",299.46,"2,207.61",765.36,275.23,490.12
2018,X,"15,355.84","14,599.56","9,098.44","1,015.06","2,095.00",282.17,"2,108.89",756.28,298.77,457.51
,,,,,,,,,,,
